ID,Badge Title,Issuer,Achievement Type,Assessment Type,Assessment Evaluator,Evidence Type,Expert Eval Required,Canvas Code,Seq #,Pathway Position,Self-Declared Level,Bloom Level,Audience Signal,Stage 1 — Category,Stage 2 — Type,Stage 3 — Level,Confidence,Reviewer Status,Matched Badge Title,Match Score,Primary Skill Category,Learning Outcome Summary,Delivery Mode
B001,2026 Infrastructure Forum,LDI,Achievement,Attendance,None,Attendance record,No,,,Standalone,None,Remember/Understand,Industry/Professional,Continuing & Professional Education,Souvenir,Souvenir,High,Pending,2026 Infrastructure Forum,1.0,Professional Development,Build professional skills through guided learning experiences,Workshop
B002,AI in the Workplace,LDI,Achievement,Applied activities,Auto-assessed,Demonstrated understanding,No,,,Standalone,Foundation-Int,Apply/Analyze,Working professionals,Continuing & Professional Education,Achievement,Foundational,Medium,Pending,AI in the Workplace,1.0,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid
B003,AI for Administrative Efficiency,LDI,Achievement,Module completion,Auto-assessed,Platform-tracked,No,MCAI.002.03,3.0,3rd of 3,None,Apply,Educator/Faculty,Faculty & Staff Development,Achievement,Milestone,High,Pending,AI for Administrative Efficiency,1.0,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid
B004,Introduction to AI in Education,LDI,Achievement,Module completion,Auto-assessed,Platform-tracked,No,MCAI.002.01,1.0,1st of 3,Foundation,Understand,Educator/Faculty,Faculty & Staff Development,Achievement,Foundational,High,Pending,Introduction to AI in Education,1.0,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid
B005,AI-Enhanced Instructional Practices,LDI,Achievement,Module completion,Auto-assessed,Platform-tracked,No,MCAI.002.02,2.0,2nd of 3,None,Apply/Synthesize,Educator/Faculty,Faculty & Staff Development,Achievement,Milestone,High,Pending,AI-Enhanced Instructional Practices,1.0,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid
B006,Adaptability & Lifelong Learning with AI,LDI,Achievement,Final assessment 80%,Auto-assessed,Scored assessment,No,MCAI.001.03,3.0,3rd Cluster 1,Foundation,Understand/Apply,Broad/Faculty,Faculty & Staff Development,Achievement,Milestone,High,Pending,Adaptability & Lifelong Learning with AI,1.0,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid
B007,AI Literacy and Fundamentals,LDI,Achievement,Final assessment 80%,Auto-assessed,Scored assessment,No,MCAI.001.02,2.0,2nd Cluster 1,Foundation,Remember/Understand,Broad/Faculty,Faculty & Staff Development,Achievement,Milestone,High,Pending,AI Literacy and Fundamentals,1.0,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid
B008,AI in Context: History & Interdisciplinary,LDI,Achievement,Knowledge checks 80%,Auto-assessed,Scored knowledge checks,No,MCAI.001.01,1.0,1st Cluster 1,None,Remember/Analyze,Broad/Faculty,Faculty & Staff Development,Achievement,Foundational,High,Pending,AI in Context: History and Interdisciplinary Perspectives,1.0,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid
B009,PM Healthcare — Course 1: Introduction,LDI,Achievement,Module completion,Auto-assessed,Platform-tracked,No,MCHC.001.01,1.0,1st of 4,Foundation,Apply/Analyze,Healthcare professionals,Continuing & Professional Education,Achievement,Foundational,High,Pending,Project Management in Healthcare – Course 1: Introduction,1.0,Professional Development,Apply project management concepts in healthcare contexts,Hybrid
B010,PM Healthcare — Course 2: Intermediate,LDI,Achievement,Module quizzes,Auto-assessed,Scored quizzes,No,MCHC.001.02,2.0,2nd of 4,Intermediate,Analyze/Apply,Healthcare professionals,Continuing & Professional Education,Achievement,Milestone,High,Pending,Project Management in Healthcare – Course 2: Intermediate,1.0,Professional Development,Apply project management concepts in healthcare contexts,Hybrid
B011,PM Healthcare — Course 3: Advanced,LDI,Achievement,Module completion,Auto-assessed,Platform-tracked,No,MCHC.001.03,3.0,3rd of 4,Advanced,Analyze/Evaluate,Healthcare professionals,Continuing & Professional Education,Achievement,Milestone,High,Pending,Project Management in Healthcare – Course 3: Advanced,1.0,Professional Development,Apply project management concepts in healthcare contexts,Hybrid
B012,PM Healthcare — Course 4: Agile,LDI,Achievement,Module completion,Auto-assessed,Platform-tracked,No,MCHC.001.04,4.0,4th of 4,Advanced,Apply/Analyze,Healthcare professionals,Continuing & Professional Education,Achievement,Milestone,High,Pending,Project Management in Healthcare – Course 4: Agile,1.0,Professional Development,Apply project management concepts in healthcare contexts,Hybrid
